Committee_Name,Report_Year,Report_Type,Is Amendment,, 
CONNOR GROCE EXPLORATORY COMMITTEE,2019,Final,,,
CONNOR GROCE EXPLORATORY COMMITTEE,2019,Mid Year Semi-Annual,,,
CONNOR GROCE EXPLORATORY COMMITTEE,2020,Final,,,
CONRAD COMM FOR NC HOUSE,2012,First Quarter,,,
CONRAD COMM FOR NC HOUSE,2012,Fourth Quarter,,,
CONRAD COMM FOR NC HOUSE,2012,Organizational,,,
CONRAD COMM FOR NC HOUSE,2012,Second Quarter,,,
CONRAD COMM FOR NC HOUSE,2012,Third Quarter,,,
CONRAD COMM FOR NC HOUSE,2013,Mid Year Semi-Annual,,,
CONRAD COMM FOR NC HOUSE,2013,Year End Semi-Annual,,,
CONRAD COMM FOR NC HOUSE,2014,First Quarter,,,
CONRAD COMM FOR NC HOUSE,2014,Fourth Quarter,,,
CONRAD COMM FOR NC HOUSE,2014,Second Quarter,,,
CONRAD COMM FOR NC HOUSE,2014,Third Quarter,,,
CONSERVATION COUNCIL OF NC,2002,Fourth Quarter,X,,
CONSERVATION COUNCIL OF NC,2002,Third Quarter,X,,
CONSERVATION COUNCIL OF NC,2003,Mid Year Semi-Annual,,,
CONSERVATION COUNCIL OF NC,2003,Year End Semi-Annual,,,
CONSERVATION COUNCIL OF NC,2006,Fourth Quarter,X,,
CONSERVATION COUNCIL OF NC,2006,Third Quarter,X,,
CONSERVATION COUNCIL OF NC,2007,Mid Year Semi-Annual,X,,
CONSERVATION COUNCIL OF NC,2007,Year End Semi-Annual,X,,
CONSERVATION COUNCIL OF NC,2008,First Quarter,X,,
CONSERVATION COUNCIL OF NC,2008,Fourth Quarter,,,
CONSERVATION COUNCIL OF NC,2008,Third Quarter,,,
CONSERVATION COUNCIL OF NC,2009,Mid Year Semi-Annual,,,
CONSERVATION COUNCIL OF NC,2009,Mid Year Semi-Annual,X,,
CONSERVATION COUNCIL OF NC,2009,Year End Semi-Annual,,,
CONSERVATION COUNCIL OF NC,2010,First Quarter,,,
CONSERVATION COUNCIL OF NC,2010,Fourth Quarter,,,
CONSERVATION COUNCIL OF NC,2010,Second Quarter,,,
CONSERVATION COUNCIL OF NC,2010,Third Quarter,,,
CONSERVATION VOTES PAC,2016,Fourth Quarter,,,
CONSERVATION VOTES PAC,2016,Fourth Quarter,X,,
CONSERVATION VOTES PAC,2016,Independent Expenditure Report,,,
CONSERVATION VOTES PAC,2016,Organizational,,,
CONSERVATION VOTES PAC,2016,Third Quarter,,,
CONSERVATION VOTES PAC,2016,Third Quarter,X,,
CONSERVATION VOTES PAC,2018,Independent Expenditure Report,,,
CONSERVATION VOTES PAC,2020,Independent Expenditure Report,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2012,Fourth Quarter,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2012,Fourth Quarter,X,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2012,Organizational,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2012,Third Quarter,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2013,Mid Year Semi-Annual,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2013,Year End Semi-Annual,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2014,First Quarter,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2014,Fourth Quarter,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2014,Fourth Quarter,X,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2014,Second Quarter,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2014,Third Quarter,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2014,Third Quarter,X,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2015,Mid Year Semi-Annual,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2015,Year End Semi-Annual,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2016,First Quarter,,,
CONSERVATIVE CHRISTIAN ACTION TEAM,2016,Second Quarter,,,
CONSERVATIVE LEADERS IMPACTING COMMUNITIES,2011,Mid Year Semi-Annual,,,
CONSERVATIVE LEADERS IMPACTING COMMUNITIES,2011,Organizational,,,
CONSERVATIVE LEADERS IMPACTING COMMUNITIES,2011,Year End Semi-Annual,,,
CONSERVATIVE LEADERS IMPACTING COMMUNITIES,2012,First Quarter,,,
CONSERVATIVE LEADERS IMPACTING COMMUNITIES,2012,Fourth Quarter,,,
CONSERVATIVE LEADERS IMPACTING COMMUNITIES,2012,Second Quarter,,,
CONSERVATIVE LEADERS IMPACTING COMMUNITIES,2012,Third Quarter,,,
CONSERVATIVE LEADERSHIP COMMITTEE NC INC,2020,Independent Expenditure Report,,,
CONSERVATIVE REPUBLICANS OF MOORE COUNTY ,2006,Fourth Quarter,X,,
CONSERVATIVE REPUBLICANS OF MOORE COUNTY ,2006,Second Quarter,X,,
CONSERVATIVE REPUBLICANS OF MOORE COUNTY ,2006,Third Quarter,X,,
CONSERVATIVE REPUBLICANS OF MOORE COUNTY ,2008,First Quarter,,,
CONSERVATIVES FOR GUILFORD CTY,2010,Organizational,,,
CONSERVATIVES RESTORING EXCELLENCE,2013,Year End Semi-Annual,,,
CONSERVATIVES RESTORING EXCELLENCE,2014,First Quarter,,,
CONSERVATIVES RESTORING EXCELLENCE,2014,Fourth Quarter,,,
CONSERVATIVES RESTORING EXCELLENCE,2014,Second Quarter,,,
CONSERVATIVES RESTORING EXCELLENCE,2014,Third Quarter,,,
CONSERVATIVES RESTORING EXCELLENCE,2015,Mid Year Semi-Annual,,,
CONSERVATIVES RESTORING EXCELLENCE,2015,Year End Semi-Annual,,,
CONSERVATIVES RESTORING EXCELLENCE,2016,First Quarter,,,
CONSIDER WHAT YOU VOTE FOR,2020,Fourth Quarter,,,
CONSTANCE L JOHNSON TO UNIFY AND UPLIFT,2014,First Quarter,,,
CONSTANCE L JOHNSON TO UNIFY AND UPLIFT,2014,Fourth Quarter,,,
CONSTANCE L JOHNSON TO UNIFY AND UPLIFT,2014,Organizational,,,
CONSTANCE L JOHNSON TO UNIFY AND UPLIFT,2014,Second Quarter,,,
CONSTANCE L JOHNSON TO UNIFY AND UPLIFT,2014,Third Quarter,,,
CONSTANCE LAV JOHNSON FOR NC STATE SUPERINTENDENT OF PUBLIC INSTRUCTION CAMPAIGN,2019,Organizational,,,
CONSTANCE LAV JOHNSON FOR NC STATE SUPERINTENDENT OF PUBLIC INSTRUCTION CAMPAIGN,2019,Year End Semi-Annual,,,
CONSTANCE LAV JOHNSON FOR NC STATE SUPERINTENDENT OF PUBLIC INSTRUCTION CAMPAIGN,2020,Final,,,
CONSTANCE LAV JOHNSON FOR NC STATE SUPERINTENDENT OF PUBLIC INSTRUCTION CAMPAIGN,2020,First Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2009,Mid Year Semi-Annual,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2009,Year End Semi-Annual,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2010,Second Quarter,X,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2012,Fourth Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2012,Second Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2012,Third Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2013,Mid Year Semi-Annual,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2013,Year End Semi-Annual,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2014,First Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2014,Fourth Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2014,Second Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2014,Third Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2015,Mid Year Semi-Annual,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2015,Year End Semi-Annual,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2016,First Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2016,Fourth Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2016,Second Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2016,Third Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2019,Mid Year Semi-Annual,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2019,Year End Semi-Annual,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2020,Fourth Quarter,,,
CONSTITUTION PARTY OF NC STATE EXECUTIVE COMM,2020,Second Quarter,,,
CONSTITUTIONAL ALLIANCE FUND,2011,Mid Year Semi-Annual,,,
CONSTITUTIONAL ALLIANCE FUND,2011,Year End Semi-Annual,,,
CONSTITUTIONAL ALLIANCE FUND,2012,First Quarter,,,
CONSTITUTIONAL ALLIANCE FUND,2012,Fourth Quarter,,,
CONSTITUTIONAL ALLIANCE FUND,2012,Second Quarter,,,
CONSTITUTIONAL ALLIANCE FUND,2012,Third Quarter,,,
CONSTITUTIONAL ALLIANCE FUND,2013,Mid Year Semi-Annual,,,
CONSTITUTIONAL ALLIANCE FUND,2013,Year End Semi-Annual,,,
CONVENTION OF STATES ACTION,2020,Independent Expenditure Report,,,
COOK FOR LT GOVERNOR,2009,Year End Semi-Annual,,,
COOK FOR LT GOVERNOR,2010,Final,,,
COOPER CAMPAIGN COMM,2002,First Quarter,X,,
COOPER COMM,2013,Year End Semi-Annual,,,
COORDINATING COMMITTEE FOR OUR SCHOOLS OUR COMMUNITY OUR FUTURE,2016,Final,,,
COPART TARHEEL PAC,2020,Fourth Quarter,,,
COPART TARHEEL PAC,2020,Second Quarter,,,
COREY M LYONS,2012,Independent Expenditure Report,X,,
CORIZON HEALTH INC PAC,2015,Mid Year Semi-Annual,,,
CORIZON HEALTH INC PAC,2015,Year End Semi-Annual,,,
CORIZON HEALTH INC PAC,2016,First Quarter,,,
CORIZON HEALTH INC PAC,2016,Fourth Quarter,,,
CORIZON HEALTH INC PAC,2016,Second Quarter,,,
CORIZON HEALTH INC PAC,2016,Third Quarter,,,
CORIZON HEALTH INC PAC,2017,Mid Year Semi-Annual,,,
CORIZON HEALTH INC PAC,2019,Mid Year Semi-Annual,,,
CORIZON HEALTH INC PAC,2019,Year End Semi-Annual,,,
CORIZON HEALTH INC PAC,2020,Fourth Quarter,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2011,Mid Year Semi-Annual,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2011,Year End Semi-Annual,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2012,Fourth Quarter,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2012,Monthly,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2012,Second Quarter,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2012,Third Quarter,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2013,Mid Year Semi-Annual,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2013,Year End Semi-Annual,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2014,First Quarter,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2014,Fourth Quarter,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2014,Second Quarter,,,
CORIZON HEALTH INC PAC (FORMERLY PRISON HEALTH SERVICES INC PAC),2014,Third Quarter,,,
CORNING INC EMPL PAC,2004,First Quarter,,,
CORNING INC EMPL PAC,2009,Year End Semi-Annual,,,
CORNING INC EMPL PAC,2010,First Quarter,,,
CORNING INC EMPL PAC,2010,Second Quarter,,,
CORNING INC EMPL PAC,2011,Mid Year Semi-Annual,,,
CORNING INC EMPL PAC,2011,Year End Semi-Annual,,,
CORNING INC EMPL PAC,2011,Year End Semi-Annual,X,,
CORNING INC EMPL PAC,2012,First Quarter,,,
CORNING INC EMPL PAC,2012,Fourth Quarter,,,
CORNING INC EMPL PAC,2012,Second Quarter,,,
CORNING INC EMPL PAC,2012,Third Quarter,,,
CORNING INC EMPL PAC,2013,Mid Year Semi-Annual,,,
CORNING INC EMPL PAC,2013,Year End Semi-Annual,,,
CORNING INC EMPL PAC,2013,Year End Semi-Annual,X,,
CORNING INC EMPL PAC,2014,First Quarter,,,
CORNING INC EMPL PAC,2014,Second Quarter,,,
CORNING INC EMPL PAC,2015,Mid Year Semi-Annual,,,
CORNING INC EMPL PAC,2015,Year End Semi-Annual,,,
CORNING INC EMPL PAC,2016,First Quarter,,,
CORNING INC EMPL PAC,2016,Second Quarter,,,
CORNING INC EMPL PAC,2017,Mid Year Semi-Annual,,,
CORNING INC EMPL PAC,2019,Year End Semi-Annual,,,
COUNTS FOR NC HOUSE,2013,Organizational,,,
COUNTS FOR NC HOUSE,2013,Organizational,X,,
COUNTS FOR NC HOUSE,2013,Year End Semi-Annual,X,,
COUNTS FOR NC HOUSE,2015,Organizational,,,
COVIL FOR NC HOUSE,2015,Year End Semi-Annual,X,,
COWELL FOR TREASURER,2014,Year End Semi-Annual,,,
COZEN O'CONNOR PAC,2011,Year End Semi-Annual,,,
COZEN O'CONNOR PAC,2016,Fourth Quarter,,,
COZEN O'CONNOR PAC,2016,Organizational,,,
COZEN O'CONNOR PAC,2016,Second Quarter,,,
COZEN O'CONNOR PAC,2016,Third Quarter,,,
COZEN O'CONNOR PAC,2017,Mid Year Semi-Annual,,,
COZEN O'CONNOR PAC,2019,Mid Year Semi-Annual,,,
COZEN O'CONNOR PAC,2019,Year End Semi-Annual,,,
COZEN O'CONNOR PAC,2020,Fourth Quarter,,,
COZEN O'CONNOR PAC,2020,Second Quarter,,,
CRAIG BLITZER FOR DISTRICT ATTORNEY,2013,Organizational,,,
CRAIG BLITZER FOR DISTRICT ATTORNEY,2017,Special,,,
CRAIG BLITZER FOR DISTRICT ATTORNEY,2019,Mid Year Semi-Annual,,,
CRAIG BLITZER FOR DISTRICT ATTORNEY,2019,Year End Semi-Annual,,,
CRAIG CROOM COMMITTEE,2013,Year End Semi-Annual,,,
CRAIG CROOM COMMITTEE,2014,First Quarter,,,
CRAIG CROOM COMMITTEE,2014,First Quarter,X,,
CRAIG CROOM COMMITTEE,2014,Fourth Quarter,,,
CRAIG CROOM COMMITTEE,2014,Second Quarter,,,
CRAIG CROOM COMMITTEE,2014,Third Quarter,,,
CRAIG CROOM COMMITTEE,2017,Special,,,
CRAIG T. THOMPSON FOR SUPERIOR COURT JUDGE,2018,Final,,,
CRAIG T. THOMPSON FOR SUPERIOR COURT JUDGE,2018,Mid Year Semi-Annual,,,
CRAIG T. THOMPSON FOR SUPERIOR COURT JUDGE,2018,Organizational,X,,
CRAVEN CTY VOTERS LEAGUE,2002,Interim,X,,
CRAVEN CTY VOTERS LEAGUE,2006,Fourth Quarter,X,,
CRAVEN CTY VOTERS LEAGUE,2009,Mid Year Semi-Annual,,,
CRAVEN CTY VOTERS LEAGUE,2009,Year End Semi-Annual,,,
CRAVEN CTY VOTERS LEAGUE,2009,Year End Semi-Annual,X,,
CRAVEN CTY VOTERS LEAGUE,2010,First Quarter,,,
CRAVEN CTY VOTERS LEAGUE,2010,Fourth Quarter,,,
CRAVEN CTY VOTERS LEAGUE,2010,Second Quarter,,,
CRAVEN CTY VOTERS LEAGUE,2010,Third Quarter,,,
CRAVEN CTY VOTERS LEAGUE,2011,Mid Year Semi-Annual,,,
CRAVEN CTY VOTERS LEAGUE,2011,Year End Semi-Annual,,,
CRAVEN CTY VOTERS LEAGUE,2012,First Quarter,,,
CRAVEN CTY VOTERS LEAGUE,2012,Fourth Quarter,,,
CRAVEN CTY VOTERS LEAGUE,2012,Second Quarter,,,
CRAVEN CTY VOTERS LEAGUE,2012,Second Quarter,X,,
CRAVEN CTY VOTERS LEAGUE,2012,Third Quarter,,,
CRAVEN CTY VOTERS LEAGUE,2013,Mid Year Semi-Annual,,,
CRAVEN DEC,2009,Mid Year Semi-Annual,,,
CRAVEN DEC,2009,Mid Year Semi-Annual,X,,
CRAVEN DEC,2009,Year End Semi-Annual,,,
CRAVEN DEC,2010,First Quarter,,,
CRAVEN DEC,2010,Fourth Quarter,,,
CRAVEN DEC,2010,Second Quarter,,,
CRAVEN DEC,2010,Second Quarter,X,,
CRAVEN DEC,2010,Third Quarter,,,
CRAVEN DEC,2011,Mid Year Semi-Annual,,,
CRAVEN DEC,2011,Year End Semi-Annual,,,
CRAVEN DEC,2012,First Quarter,,,
CRAVEN DEC,2012,Fourth Quarter,,,
CRAVEN DEC,2012,Second Quarter,,,
CRAVEN DEC,2012,Third Quarter,,,
CRAVEN DEC,2012,Third Quarter,X,,
CRAVEN DEC,2013,Mid Year Semi-Annual,,,
CRAVEN DEC,2013,Year End Semi-Annual,,,
CRAVEN DEC,2014,First Quarter,,,
CRAVEN DEC,2014,Fourth Quarter,,,
CRAVEN DEC,2014,Second Quarter,,,
CRAVEN DEC,2014,Third Quarter,,,
CRAVEN DEC,2015,Year End Semi-Annual,,,
CRAVEN DEC,2016,First Quarter,,,
CRAVEN DEC,2016,Fourth Quarter,,,
CRAVEN DEC,2016,Second Quarter,,,
CRAVEN DEC,2016,Third Quarter,,,
CRAVEN DEC,2016,Third Quarter,X,,
CRAVEN DEC,2018,First Quarter,,,
CRAVEN DW,2006,Fourth Quarter,,,
CRAVEN DW,2009,Mid Year Semi-Annual,,,
CRAVEN DW,2009,Mid Year Semi-Annual,X,,
CRAVEN DW,2009,Year End Semi-Annual,,,
CRAVEN DW,2010,First Quarter,,,
CRAVEN DW,2010,First Quarter,X,,
CRAVEN DW,2010,Fourth Quarter,,,
CRAVEN DW,2010,Fourth Quarter,X,,
CRAVEN DW,2010,Second Quarter,,,
CRAVEN DW,2010,Third Quarter,,,
CRAVEN DW,2010,Third Quarter,X,,
CRAVEN DW,2011,Mid Year Semi-Annual,,,
CRAVEN DW,2011,Year End Semi-Annual,,,
CRAVEN DW,2012,First Quarter,,,
CRAVEN DW,2012,Fourth Quarter,,,
CRAVEN DW,2012,Second Quarter,,,
CRAVEN DW,2012,Third Quarter,,,
CRAVEN DW,2013,Mid Year Semi-Annual,,,
CRAVEN DW,2013,Year End Semi-Annual,,,
CRAVEN DW,2014,First Quarter,,,
CRAVEN DW,2014,Fourth Quarter,,,
CRAVEN DW,2014,Second Quarter,,,
CRAVEN DW,2014,Third Quarter,,,
CRAVEN DW,2014,Third Quarter,X,,
CRAVEN DW,2015,Mid Year Semi-Annual,,,
CRAVEN DW,2015,Mid Year Semi-Annual,X,,
CRAVEN FAIRFIELD PD 20,2015,First Quarter,,,
CRAVEN FAIRFIELD PD 20,2015,Mid Year Semi-Annual,,,
CRAVEN FAIRFIELD PD 20,2015,Year End Semi-Annual,,,
CRAVEN FAIRFIELD PD 20,2016,First Quarter,,,
CRAVEN FAIRFIELD PD 20 ,2016,Fourth Quarter,,,
CRAVEN FAIRFIELD PD 20,2016,Second Quarter,,,
CRAVEN FAIRFIELD PD 20,2016,Second Quarter,X,,
CRAVEN FAIRFIELD PD 20,2016,Third Quarter,,,
CRAVEN RBF,2013,Organizational,,,
CRAVEN REC,2001,Mid Year Semi-Annual,X,,
CRAVEN REC,2002,Second Quarter,,,
CRAVEN REC,2007,Year End Semi-Annual,X,,
CRAVEN REC,2009,Mid Year Semi-Annual,,,
CRAVEN REC,2009,Year End Semi-Annual,,,
CRAVEN REC,2009,Year End Semi-Annual,X,,
CRAVEN REC,2010,First Quarter,,,
CRAVEN REC,2010,Fourth Quarter,,,
CRAVEN REC,2010,Second Quarter,,,
CRAVEN REC,2010,Third Quarter,,,
CRAVEN RM,2010,First Quarter,,,
CRAVEN RM,2010,First Quarter,X,,
CRAVEN RM,2010,Fourth Quarter,,,
CRAVEN RM,2010,Second Quarter,,,
CRAVEN RM,2010,Second Quarter,X,,
CRAVEN RM,2010,Third Quarter,,,
CRAVEN RM,2011,Mid Year Semi-Annual,,,
CRAVEN RM,2011,Year End Semi-Annual,,,
CRAVEN RM,2012,First Quarter,,,
CRAVEN RM,2012,First Quarter,X,,
CRAVEN RM,2012,Fourth Quarter,,,
CRAVEN RM,2012,Second Quarter,,,
CRAVEN RM,2012,Third Quarter,,,
CRAVEN RM,2013,Mid Year Semi-Annual,,,
CRAVEN RM,2013,Year End Semi-Annual,,,
CRAVEN RM,2014,First Quarter,,,
CRAVEN RM,2014,Fourth Quarter,,,
CRAVEN RM,2014,Second Quarter,,,
CRAVEN RM,2014,Third Quarter,,,
CRAVEN RM,2015,Mid Year Semi-Annual,,,
CRAVEN RM,2016,Fourth Quarter,,,
CRAVEN RM,2016,Second Quarter,,,
CRAVEN RW,2001,First Quarter,,,
CRAVEN RW,2004,Fourth Quarter,,,
CRAVEN RW,2004,Mid Year Semi-Annual,,,
CRAVEN RW,2004,Second Quarter,,,
CRAVEN RW,2004,Third Quarter,,,
CRAVEN RW,2005,Mid Year Semi-Annual,X,,
CRAVEN RW,2005,Year End Semi-Annual,X,,
CRAVEN RW,2006,First Quarter,X,,
CRAVEN RW,2006,Fourth Quarter,X,,
CRAVEN RW,2006,Second Quarter,X,,
CRAVEN RW,2006,Third Quarter,X,,
CRAVEN RW,2008,Third Quarter,X,,
CRAVEN RW,2009,Mid Year Semi-Annual,,,
CRAVEN RW,2009,Year End Semi-Annual,,,
CRAVEN RW,2010,First Quarter,,,
CRAVEN RW,2010,Fourth Quarter,,,
CRAVEN RW,2010,Second Quarter,,,
CRAVEN RW,2010,Third Quarter,,,
CRAVEN RW,2013,Year End Semi-Annual,,,
CRAVEN RW,2014,First Quarter,,,
CRAWFORD CAMPAIGN,2009,Mid Year Semi-Annual,,,
CRAWFORD CAMPAIGN,2009,Year End Semi-Annual,,,
CRAWFORD CAMPAIGN,2010,First Quarter,,,
CRAWFORD CAMPAIGN,2010,Fourth Quarter,,,
CRAWFORD CAMPAIGN,2010,Second Quarter,,,
CRAWFORD CAMPAIGN,2010,Third Quarter,,,
CRAWFORD CAMPAIGN,2011,Mid Year Semi-Annual,,,
CRAWFORD CAMPAIGN,2011,Year End Semi-Annual,,,
CRAWFORD CAMPAIGN,2012,First Quarter,,,
CRAWFORD CAMPAIGN,2012,Fourth Quarter,,,
CRAWFORD CAMPAIGN,2012,Fourth Quarter,X,,
CRAWFORD CAMPAIGN,2012,Second Quarter,,,
CRAWFORD CAMPAIGN,2012,Second Quarter,X,,
CRAWFORD CAMPAIGN,2012,Third Quarter,,,
CRAWFORD CAMPAIGN,2012,Third Quarter,X,,
CRAWFORD CAMPAIGN,2013,Final,X,,
CRAWFORD CAMPAIGN,2013,Mid Year Semi-Annual,,,
CREDIT UNION PAC OF NC,2005,Mid Year Semi-Annual,X,,
CREDIT UNION PAC OF NC,2005,Year End Semi-Annual,X,,
CREDIT UNION PAC OF NC,2006,First Quarter,X,,
CREDIT UNION PAC OF NC,2006,Fourth Quarter,X,,
CREDIT UNION PAC OF NC,2006,Second Quarter,,,
CREDIT UNION PAC OF NC,2006,Second Quarter,X,,
CREDIT UNION PAC OF NC,2008,First Quarter,X,,
CREDIT UNION PAC OF NC,2008,Third Quarter,X,,
CREDIT UNION PAC OF NC,2010,Second Quarter,X,,
CREDIT UNION PAC OF NC,2012,Mid Year Semi-Annual,X,,
CREDIT UNION PAC OF NC,2013,Year End Semi-Annual,,,
CREDIT UNION PAC OF NC,2013,Year End Semi-Annual,X,,
CREDIT UNION PAC OF NC,2014,First Quarter,,,
CREDIT UNION PAC OF NC,2014,First Quarter,X,,
CREDIT UNION PAC OF NC,2014,Fourth Quarter,,,
CREDIT UNION PAC OF NC,2014,Fourth Quarter,X,,
CREDIT UNION PAC OF NC,2014,Second Quarter,,,
CREDIT UNION PAC OF NC,2014,Second Quarter,X,,
CREDIT UNION PAC OF NC,2014,Third Quarter,,,
CREDIT UNION PAC OF NC,2014,Third Quarter,X,,
CREDIT UNION PAC OF NC,2015,Mid Year Semi-Annual,,,
CREDIT UNION PAC OF NC,2016,First Quarter,,,
CREDIT UNION PAC OF NC,2016,Fourth Quarter,,,
CREDIT UNION PAC OF NC,2016,Second Quarter,,,
CREDIT UNION PAC OF NC,2016,Third Quarter,,,
CREE INC PAC,2012,Fourth Quarter,,,
CREE INC PAC,2012,Second Quarter,,,
CREE INC PAC,2012,Third Quarter,,,
CREE INC PAC,2013,Mid Year Semi-Annual,,,
CREE INC PAC,2013,Year End Semi-Annual,,,
CREE INC PAC,2014,First Quarter,,,
CREE INC PAC,2014,Fourth Quarter,,,
CREE INC PAC,2014,Second Quarter,,,
CREE INC PAC,2014,Third Quarter,,,
CREE INC PAC,2015,Mid Year Semi-Annual,,,
CREE INC PAC,2015,Year End Semi-Annual,,,
CREE INC PAC,2016,First Quarter,,,
CREE INC PAC,2016,Fourth Quarter,,,
CREE INC PAC,2016,Second Quarter,,,
CREE INC PAC,2016,Third Quarter,,,
CREE INC PAC,2017,Mid Year Semi-Annual,,,
CREE INC PAC,2019,Mid Year Semi-Annual,,,
CREE INC PAC,2019,Year End Semi-Annual,,,
CREE INC PAC,2020,Fourth Quarter,,,
CREWS FOR NC HOUSE,2000,Organizational,,,
CREWS FOR NC HOUSE,2000,Organizational,X,,
CREWS FOR NC HOUSE,2000,Second Quarter,,,
CRISTINA V VAZQUEZ ELECTIONS COMM,2014,Final,,,
CRISTINA V VAZQUEZ ELECTIONS COMM,2014,Final,X,,
CRISTINA V VAZQUEZ ELECTIONS COMM,2014,First Quarter,,,
CRISTINA V VAZQUEZ ELECTIONS COMM,2014,Organizational,,,
CRISTINA V VAZQUEZ ELECTIONS COMM,2014,Second Quarter,,,
CRISTINA V VAZQUEZ ELECTIONS COMM,2014,Third Quarter,,,
CRITICAL HEALTH SYSTEMS OF NC PAC,2002,Interim,X,,
CRITICAL HEALTH SYSTEMS OF NC PAC,2004,Fourth Quarter,X,,
CRITICAL HEALTH SYSTEMS OF NC PAC,2008,Fourth Quarter,X,,
CROWN PAC NC,2010,Second Quarter,,,
CRUISE FOR NC HOUSE,2014,Final,,,
CRUMLEY COMM,2006,Mid Year Semi-Annual,,,
CRUMP FOR DISTRICT ATTORNEY COMMITTEE,2018,First Quarter,,,
CRUMP FOR DISTRICT ATTORNEY COMMITTEE,2018,First Quarter,X,,
CRUTCHFIELD FOR NC HOUSE,2004,Final,X,,
CRYSTAL COAST RM,2003,Year End Semi-Annual,,,
CRYSTAL COAST RM,2004,First Quarter,,,
CRYSTAL COAST RM,2004,Second Quarter,,,
CRYSTAL COAST RM,2006,First Quarter,,,
CRYSTAL COAST RM,2016,Third Quarter,,,
CRYSTAL COAST RM,2019,Mid Year Semi-Annual,,,
CRYSTAL COAST RM,2019,Year End Semi-Annual,,,
CRYSTAL COAST RM,2020,Fourth Quarter,,,
CRYSTAL COAST RM,2020,Second Quarter,,,
CRYSTAL COAST RM,2020,Second Quarter,X,,
CRYSTAL COAST RW,2002,First Quarter,X,,
CRYSTAL COAST RW,2003,Fourth Quarter,X,,
CRYSTAL COAST RW,2003,Mid Year Semi-Annual,,,
CRYSTAL COAST RW,2003,Year End Semi-Annual,,,
CRYSTAL COAST RW,2005,Year End Semi-Annual,X,,
CRYSTAL COAST RW,2011,Year End Semi-Annual,,,
CSX TRANSPORTATION PAC/GOOD GOVT FUND,2013,Mid Year Semi-Annual,,,
